rank,item,repo_name,stars,type,forks,language,repo_url,username,issues,last_commit,description
73,Go,delve,19856,corporate,1998,Go,https://github.com/go-delve/delve,go-delve,104,2023-01-16T17:20:43Z,Delve is a debugger for the Go programming language.
74,Go,kratos,19708,foundation,3712,Go,https://github.com/go-kratos/kratos,go-kratos,94,2023-01-18T03:47:36Z,Your ultimate Go microservices framework for the cloud-native era.
75,Go,cli,19635,monarchist,1657,Go,https://github.com/urfave/cli,urfave,37,2023-01-17T19:10:05Z,"A simple, fast, and fun package for building command line apps in Go"
76,Go,k9s,19307,foundation,1228,Go,https://github.com/derailed/k9s,derailed,338,2023-01-16T23:01:18Z,🐶 Kubernetes CLI To Manage Your Clusters In Style!
77,Go,fyne,19238,corporate,1066,Go,https://github.com/fyne-io/fyne,fyne-io,459,2023-01-17T22:08:15Z,Cross platform GUI in Go inspired by Material Design
78,Go,harbor,19203,foundation,4250,Go,https://github.com/goharbor/harbor,goharbor,523,2023-01-18T02:43:55Z,"An open source trusted cloud native registry project that stores, signs, and scans content."
79,Go,restic,19150,community,1253,Go,https://github.com/restic/restic,restic,356,2023-01-14T19:41:21Z,"Fast, secure, efficient backup program"
80,Go,k6,19128,corporate,1004,Go,https://github.com/grafana/k6,grafana,372,2023-01-18T08:48:50Z,"A modern load testing tool, using Go and JavaScript - https://k6.io"
81,Go,filebrowser,18415,monarchist,2248,Go,https://github.com/filebrowser/filebrowser,filebrowser,54,2023-01-18T08:37:52Z,📂 Web File Browser
82,Go,loki,18073,corporate,2456,Go,https://github.com/grafana/loki,grafana,647,2023-01-18T10:01:07Z,"Like Prometheus, but for logs."
83,Go,mux,18029,community,1677,Go,https://github.com/gorilla/mux,gorilla,16,2022-12-09T15:56:57Z,A powerful HTTP router and URL matcher for building Go web servers with 🦍
84,Go,zap,17855,corporate,1264,Go,https://github.com/uber-go/zap,uber-go,91,2023-01-18T06:23:11Z,"Blazing fast, structured, leveled logging in Go."
85,Go,gotty,17413,monarchist,1325,Go,https://github.com/yudai/gotty,yudai,102,2023-01-03T18:48:03Z,Share your terminal as a web application
86,Go,grpc-go,17404,foundation,3874,Go,https://github.com/grpc/grpc-go,grpc,131,2023-01-18T01:28:15Z,The Go language implementation of gRPC. HTTP/2 based RPC
87,Go,Cloudreve,17028,corporate,2930,Go,https://github.com/cloudreve/Cloudreve,cloudreve,253,2023-01-13T03:58:46Z,"🌩支持多家云存储的云盘系统 (Self-hosted file management and sharing system, supports multiple storage providers)"
88,Go,jaeger,16988,foundation,2039,Go,https://github.com/jaegertracing/jaeger,jaegertracing,312,2023-01-17T21:25:31Z,"CNCF Jaeger, a Distributed Tracing Platform"
89,Go,learngo,16777,monarchist,2205,Go,https://github.com/inancgumus/learngo,inancgumus,1,2023-01-16T04:38:51Z,"❤️ 1000+ Hand-Crafted Go Examples, Exercises, and Quizzes. 🚀 Learn Go by fixing 1000+ tiny programs."
90,Go,goreplay,16735,corporate,1693,Go,https://github.com/buger/goreplay,buger,257,2023-01-15T17:57:59Z,"GoReplay is an open-source tool for capturing and replaying live HTTP traffic into a test environment in order to continuously test your system with real data. It can be used to increase confidence in code deployments, configuration changes and infrastructure changes."
91,Go,alist,16691,corporate,2386,Go,https://github.com/alist-org/alist,alist-org,68,2023-01-18T02:58:01Z,"🗂️A file list program that supports multiple storage, powered by Gin and Solidjs. / 一个支持多存储的文件列表程序，使用 Gin 和 Solidjs。"
92,Go,websocketd,16657,monarchist,996,Go,https://github.com/joewalnes/websocketd,joewalnes,39,2023-01-02T18:25:59Z,"Turn any program that uses STDIN/STDOUT into a WebSocket server. Like inetd, but for WebSockets. "
93,Go,bubbletea,16599,community,513,Go,https://github.com/charmbracelet/bubbletea,charmbracelet,32,2023-01-15T21:37:26Z,A powerful little TUI framework 🏗
94,Go,xbar,16558,monarchist,643,Go,https://github.com/matryer/xbar,matryer,132,2022-10-21T13:02:38Z,Put the output from any script or program into your macOS Menu Bar (the BitBar reboot)
95,Go,podman,16516,corporate,1769,Go,https://github.com/containers/podman,containers,347,2023-01-18T09:57:15Z,Podman: A tool for managing OCI containers and pods.
96,Go,seaweedfs,16377,monarchist,1917,Go,https://github.com/seaweedfs/seaweedfs,seaweedfs,125,2023-01-17T13:34:42Z,"SeaweedFS is a fast distributed storage system for blobs, objects, files, and data lake, for billions of files! Blob store has O(1) disk seek, cloud tiering. Filer supports Cloud Drive, cross-DC active-active replication, Kubernetes, POSIX FUSE mount, S3 API, S3 Gateway, Hadoop, WebDAV, encryption, Erasure Coding."
97,Go,redis,16231,corporate,1956,Go,https://github.com/go-redis/redis,go-redis,151,2023-01-11T05:21:13Z,Type-safe Redis client for Golang
98,Go,slim,15980,corporate,603,Go,https://github.com/slimtoolkit/slim,slimtoolkit,133,2023-01-18T03:18:42Z,Slim(toolkit): Don't change anything in your container image and minify it by up to 30x (and for compiled languages even more) making it secure too! (free and open source)
99,Go,fx,15920,solo,444,Go,https://github.com/antonmedv/fx,antonmedv,15,2022-11-09T03:00:30Z,Terminal JSON viewer
100,Go,trivy,15711,corporate,1519,Go,https://github.com/aquasecurity/trivy,aquasecurity,289,2023-01-18T09:33:10Z,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more"
